No,Particulars,Purchase Price,Qty,Investment,Portfolio (%),NSE/BSE,CMP,Present value,Gain/Loss,"Gain/Loss
(%)",Market Cap,P/E (TTM),Latest Earnings,Revenue (TTM),"EBITDA
(TTM)",EBITDA (%),PAT,PAT (%),CFO (March 24),"CFO 
(5 years)","Free Cash Flow
(5 years)",Debt to Equity,Book Value,Revenue,EBITDA,Profit,"Market
Cap",Price to Sales,CFO to EBITDA,CFO to PAT,Price to book,Stage-2,Sale price,Abhishek
,Financial Sector,,,328450,21%,,,386328.7,57878.7,17.62%,,,,,,,,,,,,,,,,,,,,,,,,
1,HDFC Bank,1490,50,74500,5%,HDFCBANK,1700,85007.5,10507.5,14.10%,1300796,18.69,91.02,"3,21,990",106757,33%,"69,181",21%,-3983,85155,,7,693,30.19%,50.23%,26.25%,10%,4.04,-2680%,-1737%,2.5,Yes,,
2,Bajaj Finance,6466,15,96990,6%,BAJFINANCE,8420,126294,29304,30.21%,521013,32.63,257.8,"62,279",43336,70%,"15,375",25%,82415,201273,,4,"1,253",27.26%,68.23%,48.42%,13%,8.37,53%,19%,6.7,No,,Exit
3,ICICI Bank,780,84,65520,4%,532174,1216,102102,36582,55.83%,859584,17.68,68.72,"1,74,379",57238,33%,"47,368",27%,13765,4332,,6,366,21.40%,28.66%,34.02%,24%,4.93,416%,344%,3.3,Yes,,
4,Bajaj Housing,130,504,65520,4%,544252,113,56876.4,-8643.6,-13.19%,138017,85.72,2.53,"8,527",7783,91%,"1,861",22%,15125,46789,,6,18,34.16%,87.90%,56.32%,,16.19,51%,12%,6.2,NA,,
5,Savani Financials,24,1080,25920,2%,511577,15,16048.8,-9871.2,-38.08%,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,NA,,
,Tech Sector,,,337820,22%,,,319697.3,-18122.7,-5.36%,,,,,,,,,,,,,,,,,,,,,,,,
1,Affle India,1151,50,57550,4%,AFFLE,1460,72980,15430,26.81%,20489,55.53,26.11,"2,067",412,20%,343,17%,262,902,-281,0,183,52.78%,19.75%,30.16%,2%,9.91,157%,131%,8.0,Yes,,
2,LTI Mindtree,4775,16,76400,5%,LTIM,4794,76700.8,300.8,0.39%,173004,34.69,145.92,"36,485",6426,18%,"4,654",13%,5670,16058,11468,0,676,42.13%,18.72%,33.26%,27%,4.74,113%,82%,7.1,No,,
3,KPIT Tech,672,61,40992,3%,542651,1293,78879.1,37887.1,92.43%,35073,46.57,27.77,"5,411",1116,21%,728,13%,1002,2956,1402,0,78,33.76%,19.45%,59.64%,103%,6.48,111%,73%,16.6,No,,Must exit
4,Tata Tech,1072,63,67536,4%,544028,662,41706,-25830,-38.25%,26880,41.68,15.88,"5,156",943,18%,647,13%,294,2037,1731,0,79,29.05%,18.44%,41.62%,,5.21,321%,220%,8.4,No,,Must exit
5,BLS E-Services,232,191,44312,3%,544107,153,29203.9,-15108.1,-34.09%,1389,26.3,5.8,298,46,16%,44,15%,20,77,-16,0,55,67.21%,12.79%,115.22%,,4.66,230%,220%,2.8,Yes,,
6,Tanla ,1134,45,51030,3%,532790,450,20227.5,-30802.5,-60.36%,6042,11.64,39.48,"4,011",717,18%,542,14%,590,2124,1675,0,144,18.82%,19.33%,15.47%,0%,1.51,122%,92%,3.1,No,,
,Consumer ,,,263565,17%,,,277958.7,14393.7,5.46%,,,,,,,,,,,,,,,,,,,,,,,,
1,Dmart,3777,27,101979,7%,DMART,3451,93179.7,-8799.3,-8.63%,224584,82.63,41.75,"54,813",4379,8%,"2,687",5%,2746,9404,-169,0,288,28.13%,8.22%,32.13%,17%,4.10,159%,98%,12.0,No,,Must Exit
2,Tata Consumer,845,90,76050,5%,532540,961,86499,10449,13.74%,1297066,26.56,134.77,"2,48,692",66945,27%,"47,441",19%,44338,197423,189508,0,249,13.63%,26.84%,12.28%,6%,5.22,151%,107%,3.9,No,,
3,Pidilite,2376,36,85536,6%,500331,2730,98280,12744,14.90%,138858,71.13,38.36,"12,662",2897,23%,"1,913",15%,2724,7909,4000,0,165,19.30%,19.21%,15.20%,19%,10.97,106%,70%,16.5,No,,Must exit
,Power,,,158860,10%,,,138974,-19886,-12.52%,,,,,,,,,,,,,,,,,,,,,,,,
1,Tata Power,224,225,50400,3%,500400,351,78975,28575,56.70%,112140,29.36,11.94,"63,489",11057,17%,"3,746",6%,12596,42175,10285,2,101,23.40%,16.00%,48.56%,56%,1.77,88%,30%,3.5,No,,
2,KPI Green,875,50,43750,3%,542323,402,20120,-23630,-54.01%,7915,29.26,13.75,"1,327",462,35%,230,17%,-57,217,-761,1,73,115.52%,34.47%,94.65%,370%,5.96,-811%,-404%,5.5,No,,Must exit
3,Suzlon,44,450,19800,1%,532667,51,23112,3312,16.73%,70109,61.25,0.84,"7,882",1269,16%,960,12%,80,1474,2316,0,3,24.96%,14.52%,85.07%,124%,8.89,1586%,1200%,17.1,No,,Must exit
